index,szum
0,0.5319630360203211
1,0.55
2,0.5273094047989023
3,0.5092866975160439
4,0.4934749127540017
5,0.5007882004409361
6,0.48681998455156567
7,0.4899866147688406
8,0.4737651013837506
9,0.48134074095150003
10,0.45646095002410153
11,0.4274216817203445
12,0.4396247771919633
13,0.4155513269619819
14,0.4325447958942733
15,0.4490150207873472
16,0.4303632089001996
17,0.40523646917108525
18,0.3975391521273653
19,0.3968127534807623
20,0.39595701755006574
21,0.39628201083318426
22,0.3629767664017973
23,0.4254596655134076
24,0.3427611142890116
25,0.3574233327126992
26,0.3456978837998882
27,0.3516442475817353
28,0.34726918641407667
29,0.35310167366518447
30,0.34284137714476054
31,0.341273345937674
32,0.30899298697266314
33,0.32984129227910824
34,0.3358074019613707
35,0.3070314011499324
36,0.31298575265842027
37,0.30364006450842623
38,0.3070447608767995
39,0.27954415156101864
40,0.28610170613150643
41,0.27250565900956153
42,0.26629508002370567
43,0.28602320049000696
44,0.2711788733430586
45,0.2729909006772047
46,0.24898053404990447
47,0.25513374892969465
48,0.25633591801571326
49,0.24251113289766757
50,0.24745417130656902
51,0.21615131097616944
52,0.2337904400176334
53,0.21077983190496685
54,0.22261463090220737
55,0.2337551874102742
56,0.21728559223561694
57,0.20050571267872666
58,0.1903150125382427
59,0.21928157689184385
60,0.21454960913287835
61,0.19708237049216557
62,0.182795321627898
63,0.1527304399514222
64,0.17650635396946268
65,0.19379110458852028
66,0.18302834078682534
67,0.16799565180060552
68,0.15432007876828213
69,0.17329089844698772
70,0.15884776573143466
71,0.1459789079916328
72,0.1638225803576452
73,0.19196480334712215
74,0.161712692513744
75,0.1729882474614527
76,0.16148593571707204
77,0.12399393636356248
78,0.1212822034040065
79,0.14334606780239764
80,0.1101907618705982
81,0.12269647704276787
82,0.1430072322171867
83,0.14465716185762653
84,0.10246452909057203
85,0.1294853274034826
86,0.10870605923452668
87,0.12002541162988993
88,0.11773402127119885
89,0.10480264448416367
90,0.10967830193502173
91,0.10002390895603559
92,0.11559596454818846
93,0.0815195128747751
94,0.10260317655778817
95,0.122072962692615
96,0.1220605444081742
97,0.1019917974600414
98,0.0764922542874339
99,0.1129562233140588
100,0.09410899813530156
101,0.09758700677485085
102,0.11035760215717381
103,0.08982580607948239
104,0.07741693713660569
105,0.08314111309531569
106,0.11022749612020535
107,0.07128791806409847
108,0.10885867557615932
109,0.09292137484118707
110,0.09515482145317596
111,0.11611568781070256
112,0.11238924660984193
113,0.09445811835553472
114,0.08230729466229979
115,0.10962447044853049
116,0.08904745420033046
117,0.10025835843031904
118,0.11397647591593452
119,0.10534893049167539
120,0.10279806860860272
121,0.0925899753446124
122,0.12369829586282485
123,0.11714840734148782
124,0.09145032220343043
125,0.1297538803927777
126,0.10636761733550003
127,0.0999671820122971
128,0.09834780142038643
129,0.11669983441816877
130,0.11701934075375603
131,0.10007827469529396
132,0.1433309424992055
133,0.13774229522634673
134,0.1247057459708324
135,0.10776846911068227
136,0.1355018101415377
137,0.10387950832164673
138,0.12342777755651252
139,0.11454201467965912
140,0.10356369858703969
141,0.12089859550845823
142,0.12549715080990512
143,0.1679983535771429
144,0.14316817096068413
145,0.1536253571987087
146,0.167471472901149
147,0.1414699487167397
148,0.15711111133529843
149,0.12085124217139577
150,0.12648250714479253
151,0.13553041158625725
152,0.16115286341914334
153,0.12140907467304154
154,0.15164969045424975
155,0.15081784489904057
156,0.13444654740617057
157,0.13660445012829978
158,0.12992600645614583
159,0.14479057040414173
160,0.15266946480452465
161,0.16237507428898132
162,0.1437349306343421
163,0.1349581188756903
164,0.13968607868603217
165,0.11888038304920788
166,0.12069726223015967
167,0.1441815089966219
168,0.16020165981363663
169,0.1518953616404852
170,0.13873325401738926
171,0.12805689217045255
172,0.13935526899356193
173,0.131371365187283
174,0.1248949840967438
175,0.1221748240479045
176,0.13116747592840994
177,0.14803212172094157
178,0.13551895853559823
179,0.12545545145422848
180,0.12701214638666034
181,0.14796070102933764
182,0.10815417768196503
183,0.10952607646997507
184,0.12475495923088152
185,0.11265836983986499
186,0.12441377653544507
187,0.1440897312309327
188,0.11558275476331213
189,0.12995844095061465
190,0.11864432586272196
191,0.11826758856666243
192,0.11474108687606835
193,0.1265496982279977
194,0.1090811865249143
195,0.09160904425120552
196,0.08838906652922406
197,0.11524226071280402
198,0.11312717274984446
199,0.10980552410965162
200,0.06292301737538494
201,0.07560282335548221
202,0.0842184736922938
203,0.073091912879274
204,0.11595879293413011
205,0.07501964698488213
206,0.08668067446115578
207,0.07594766949589238
208,0.07240593296524524
209,0.062424162753948034
210,0.07298810433226735
211,0.0788117086869275
212,0.07678748642719373
213,0.07481553662306312
214,0.06679661844396369
215,0.0645294902536434
216,0.056066075945468384
217,0.05551293009237799
218,0.07033062589837473
219,0.0454334761140202
220,0.05113408668767701
221,0.048878358100818656
222,0.034558131863836335
223,0.056387866081220754
224,0.04382249940769018
225,0.059644073741032554
226,0.05579314160760656
227,0.032441667675022726
228,0.04907745178119973
229,0.022434539722688527
230,0.04393882927943056
231,0.015275994385052522
232,0.045741417443675644
233,0.05172056984777973
234,0.058880294414115124
235,0.024234395634834
236,0.046751529103251706
237,0.021790529159130663
238,0.03326884887690578
239,0.04568881331996278
240,0.03540095757516862
241,0.04164998324925042
242,0.03527763982606733
243,0.04369489634556157
244,0.029643501509992336
245,0.038675958203826
246,0.03616308880409703
247,0.031197284425951464
248,0.007165178925677942
249,0.0501611565953764
250,0.014923190577381023
251,0.025582370803049783
252,0.023624190038687504
253,0.021973113795217342
254,0.05043111877900652
255,0.02374612507596841
256,0.02121230015943372
257,0.028973328942174487
258,0.038467646035330164
259,0.04464776698234557
260,0.030881952717182776
261,0.035523035475042965
262,0.046554060184020175
263,0.03705908445126441
264,0.01589612657421648
265,0.02313996749565115
266,0.04578126920758977
267,0.07383508993921219
268,0.0858711691295444
269,0.030037261921497832
270,0.03772666949534596
271,0.03816730700563416
272,0.04640554176611043
273,0.03545872828945926
274,0.051784349429981814
275,0.03567622816545017
276,0.05113963161073214
277,0.051792122642479906
278,0.05497843146970176
279,0.0464209122726386
